date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
19-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32100,32630.1,31998,32588.45,32600.05,31842.65,32588.45,185550,59988.13,172150,23425,25,34684
19-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32000,32670,31902,32644.35,32658.1,31908.3,32644.35,16575,5366.35,16375,-1100,25,34684
20-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32426.25,32664.85,32354.3,32584.7,32560,32520.9,32584.7,3748875,1219533.94,1434100,-149325,25,34684
20-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32677.9,32739.5,32433,32664.6,32641.1,32588.45,32664.6,186675,60910.98,203150,31000,25,34684
20-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32550,32780,32500,32715.3,32690.9,32644.35,32715.3,13825,4515.26,17475,1100,25,34684
21-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32749,32899,32001.5,32228.8,32320,32584.7,32228.8,4935900,1608039.17,1514325,80225,25,34684
21-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32774,32971.85,32091.15,32313.1,32400,32664.6,32313.1,337350,110224.39,254675,51525,25,34684
21-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32781.3,33026.05,32156.55,32383.1,32468.7,32715.3,32383.1,40475,13195.86,19450,1975,25,34684
22-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32200.2,32226.95,31123.05,31197.75,31204,32228.8,31197.75,7572100,2389301.12,1476450,-37875,25,34684
22-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32313.15,32313.4,31204,31265.75,31254.2,32313.1,31265.75,884500,279692.44,432650,177975,25,34684
22-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32350,32350,31291,31346.35,31347.35,32383.1,31346.35,46600,14766.56,33675,14225,25,34684
25-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31469.95,31700,30989.9,31181.15,31188,31197.75,31181.15,6284050,1971646.56,1422925,-53525,25,34684
25-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31539.95,31760.35,31060,31264.75,31266.95,31265.75,31264.75,1010375,317728.84,650900,218250,25,34684
25-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31625,31832.85,31122.4,31325.3,31333.5,31346.35,31325.3,33200,10455.86,33600,-75,25,34684
27-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31165.35,31249.9,30177.1,30328.35,30350.8,31181.15,30328.35,6423975,1973034.24,936750,-486175,25,34684
27-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31171.45,31329.6,30250.95,30383.2,30389.95,31264.75,30383.2,1805800,554837.73,1091975,441075,25,34684
27-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31145,31399.95,30315.35,30452.6,30455,31325.3,30452.6,66500,20490.43,40225,6625,25,34684
28-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,29886.1,30410.75,29661,30306.75,30363.8,30328.35,30358.3,5616525,1685063.05,610775,-325975,25,34684
28-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,30000,30484.95,29752.1,30364.7,30419.95,30383.2,30364.7,3498075,1052829.65,1728550,636575,25,34684
28-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,29999.95,30524.95,29813.5,30401.05,30475.9,30452.6,30401.05,98825,29768.9,60325,20100,25,34684
28-Jan-2021,29-Apr-2021,FUTIDX,BANKNIFTY,,,,,,,,,,,,,34684
29-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,30639.5,31238,30291.2,30679.15,30729.5,30364.7,30679.15,7121575,2185000.08,1686850,-41700,25,34684
29-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31184.65,31290,30346,30748.35,30788.75,30401.05,30748.35,92200,28342.47,66850,6525,25,34684
29-Jan-2021,29-Apr-2021,FUTIDX,BANKNIFTY,30748.8,31342.65,30460.25,30759.3,30815.5,30641.95,30759.3,12550,3865.44,1950,1950,25,34684
01-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,30994.85,33484.95,30942.5,33276.3,33415.65,30679.15,33276.3,10476675,3364615.93,1860325,173475,25,34684
01-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31034.75,33529.1,30989.05,33317.1,33462.75,30748.35,33317.1,197625,63676.93,96550,29700,25,34684
01-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,31024.8,33553.9,31024.8,33366.8,33523.1,30759.3,33366.8,40150,13017.58,9700,7750,25,34684
