date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
08-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,17883.8,17940,17835.3,17900.1,17913,17808.15,17900.1,6359400,1137632.1,12717100,456250,50,
08-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,17892,17966.15,17866,17933.7,17945,17841,17933.7,415650,74496.11,766450,77450,50,
08-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,17940,18004.15,17910.6,17969.1,17977.85,17879.7,17969.1,109400,19649.62,207600,41600,50,
11-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,17898.5,18059.6,17860,17973.05,17975.35,17900.1,17973.05,5846300,1051782.95,12480350,-236750,50,17945.95
11-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,17900,18085,17896.45,18007,18005,17933.7,18007,343200,61840.51,800550,34100,50,17945.95
11-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,17990,18124.95,17940.55,18047.3,18050,17969.1,18047.3,142350,25719.77,259650,52050,50,17945.95
12-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,17919,18015,17862.6,18002.55,18008.5,17973.05,18002.55,6320650,1133850.66,12601750,121400,50,17991.95
12-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,17937.95,18043.5,17899,18030.1,18041.45,18007,18030.1,441250,79291.78,921800,121250,50,17991.95
12-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,17975.6,18088,17940.7,18071.75,18082,18047.3,18071.75,158050,28459.11,303950,44300,50,17991.95
13-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18050,18207.95,18042,18172.75,18178,18002.55,18172.75,6714000,1218233.86,12494300,-107450,50,18161.75
13-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18095.5,18234.45,18071.3,18205.2,18206.1,18030.1,18205.2,421100,76499.09,1023850,102050,50,18161.75
13-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18133.65,18279,18115,18252.95,18259.95,18071.75,18252.95,192100,34995.21,351050,47100,50,18161.75
14-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18260,18365.9,18240,18355,18356.75,18172.75,18355,6355600,1163303.06,12176000,-318300,50,
14-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18311.45,18397.9,18275.65,18385.55,18386.5,18205.2,18385.55,579350,106180.86,1195400,171550,50,
14-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18318.6,18454.95,18316.55,18441.8,18443,18252.95,18441.8,160850,29566.49,366850,15800,50,
18-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18456.25,18543.25,18436.1,18495.4,18487.9,18355,18495.4,6387050,1180985.52,12074300,-101700,50,
18-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18497.5,18579,18475,18532.05,18531.95,18385.55,18532.05,808700,149815.5,1435000,239600,50,
18-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18528,18640,18521.15,18598.95,18596.05,18441.8,18598.95,213300,39643.01,413750,46900,50,
19-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18578.9,18594,18395.1,18432.45,18437.05,18495.4,18432.45,10017350,1853095.86,12002200,-72100,50,
19-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18649.85,18649.85,18440,18478.6,18483.25,18532.05,18478.6,930000,172544.38,1619550,184550,50,
19-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18667.1,18692,18515.05,18550.7,18556,18598.95,18550.7,220100,40988.82,447200,33450,50,
20-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18430.1,18466.8,18251.15,18316.7,18320,18432.45,18316.7,10828900,1986743.62,11013800,-988400,50,18266.6
20-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18483.45,18510,18303.05,18362.4,18371.4,18478.6,18362.4,1478350,271990.02,2007750,388200,50,18266.6
20-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18599,18599,18386.1,18441.6,18450.05,18550.7,18441.6,230450,42564.36,460850,13650,50,18266.6
21-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18365.5,18366,18077.5,18202.9,18240.5,18316.7,18202.9,9815100,1785797.36,10378150,-635650,50,
21-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18390,18409.65,18128,18256.55,18290.1,18362.4,18256.55,1681850,306721.67,2070450,62700,50,
21-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18458.8,18486.35,18218.2,18336.7,18373,18441.6,18336.7,304650,55808.01,562050,101200,50,
22-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18247.8,18318,18051.1,18144.55,18138.85,18202.9,18144.55,9364450,1702414.42,9994800,-383350,50,
22-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18289.95,18362.15,18100.1,18189.1,18185.65,18256.55,18189.1,1804650,328739.01,2199350,128900,50,
22-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18380,18444,18188.3,18274.1,18273,18336.7,18274.1,207350,37965.24,593950,31900,50,
25-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18220,18234.35,17986.6,18145.45,18153.9,18144.55,18145.45,9363500,1696398.48,9186050,-808750,50,18125.4
25-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18285,18285,18033,18185.3,18195,18189.1,18185.3,2767200,502433.84,3075700,876350,50,18125.4
25-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18359.05,18359.05,18120,18269.55,18279.8,18274.1,18269.55,191700,34967.02,609750,15800,50,18125.4
26-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18180.05,18350,18108.1,18314.15,18350,18145.45,18314.15,8353500,1522358.11,7159900,-2026150,50,18268.4
26-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18205,18387.95,18150.1,18342.75,18387.7,18185.3,18342.75,4260250,777990.14,4821000,1745300,50,18268.4
26-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18280,18450,18235,18415.5,18450,18269.55,18415.5,172500,31639.36,618350,8600,50,18268.4
27-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18308,18350,18181,18215.25,18196,18314.15,18215.25,7739550,1415604.03,4681600,-2478300,50,18210.95
27-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18370,18380,18215,18244.85,18230.7,18342.75,18244.85,5398700,989028.74,7768150,2947150,50,18210.95
27-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18443.8,18448.75,18290,18313.05,18305,18415.5,18313.05,206650,37991.62,651300,32950,50,18210.95
28-Oct-2021,28-Oct-2021,FUTIDX,NIFTY,18194.7,18205.9,17849.3,17882.75,17858,18215.25,17857.25,7639500,1376130.24,2397950,-2283650,50,
28-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,18215.1,18234,17860,17913.1,17901.7,18244.85,17913.1,10118200,1823767.49,10412450,2644300,50,
28-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,18275.15,18282.95,17935.05,17987.4,17977.9,18313.05,17987.4,517500,93682.44,743550,92250,50,
29-Oct-2021,25-Nov-2021,FUTIDX,NIFTY,17860.7,17944,17659.25,17715.3,17745,17913.1,17715.3,13381350,2380097.25,10743700,331250,50,17671.65
29-Oct-2021,30-Dec-2021,FUTIDX,NIFTY,17905.15,18014.1,17731,17788.15,17811.5,17987.4,17788.15,544100,97203.9,799300,55750,50,17671.65
29-Oct-2021,27-Jan-2022,FUTIDX,NIFTY,17900.05,18050,17784.1,17839.9,17869.8,18029.95,17839.9,58600,10497.37,18600,18600,50,17671.65
01-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17748,18037.75,17730.05,18008.45,18017,17715.3,18008.45,9197450,1646737.62,10718500,-25200,50,
01-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17849.95,18099.25,17800,18068.5,18079,17788.15,18068.5,327750,58879.35,802550,3250,50,
01-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17961.35,18145,17850,18118.75,18135,17839.9,18118.75,52200,9401.44,39450,20850,50,
02-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,18010.05,18038,17861,17916.25,17922.95,18008.45,17916.25,7741400,1389354.65,10234500,-484000,50,17888.95
02-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18100,18100,17930,17979.85,17983,18068.5,17979.85,236500,42592.74,827600,25050,50,17888.95
02-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18100,18146.5,17990.1,18032.65,18039,18118.75,18032.65,38150,6890.67,42550,3100,50,17888.95
03-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17961.05,18019.8,17770,17847.15,17862.95,17916.25,17847.15,8672150,1551942.62,10310600,76100,50,17829.2
03-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17836.65,18080,17836.65,17909.65,17924.35,17979.85,17909.65,315250,56629.12,850600,23000,50,17829.2
03-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17906.8,18125,17893.9,17967.3,17981.5,18032.65,17967.3,52500,9454.15,46800,4250,50,17829.2
04-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17900,17942,17900,17916.7,17925,17847.15,17916.7,1465650,262669.25,10329900,19300,50,
04-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17939.1,18002.95,17939.05,17979,17985,17909.65,17979,68700,12354.5,849800,-800,50,
04-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18000,18050,17997.9,18026.5,18030,17967.3,18026.5,13000,2344.29,50900,4100,50,
08-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17947.85,18153,17852,18122.75,18138,17916.7,18122.75,10030100,1808156.37,10571800,241900,50,
08-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18064.8,18209,17914.15,18185.55,18193,17979,18185.55,404650,73181.67,845350,-4450,50,
08-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18037,18262.25,17974.4,18240.95,18250,18026.5,18240.95,76300,13839.67,70700,19800,50,
09-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,18130,18140.8,17993.7,18070.4,18075.25,18122.75,18070.4,6676050,1206302.14,10081150,-490650,50,
09-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18192.95,18197.05,18061.4,18129.15,18135,18185.55,18129.15,430800,78122.73,975950,130600,50,
09-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18250,18269.65,18120,18189.5,18193,18240.95,18189.5,48150,8759.37,72750,2050,50,
10-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17989.65,18086,17925.2,18022.95,18015,18070.4,18022.95,6512550,1171791.17,10316150,235000,50,
10-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18035,18145.05,17990,18087.3,18074.3,18129.15,18087.3,337850,60991.24,998050,22100,50,
10-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18114.75,18201,18053.45,18154.6,18147.4,18189.5,18154.6,62650,11354.85,90050,17300,50,
11-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17985,17985,17807.1,17896.85,17912.9,18022.95,17896.85,8343950,1491939.49,10769600,453450,50,
11-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18018.85,18035,17878.55,17961.95,17972.8,18087.3,17961.95,627950,112661.07,1078550,80500,50,
11-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18093.7,18099.85,17950,18029.8,18040,18154.6,18029.8,94700,17059.58,114500,24450,50,
12-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17737.65,18160,17737.65,18133.45,18141.25,17896.85,18133.45,7988200,1441375.38,10088800,-680800,50,
12-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18034,18213.7,17982.1,18189.7,18197,17961.95,18189.7,459650,83204.56,1110250,31700,50,
12-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18090,18275,18050,18249.1,18259,18029.8,18249.1,98600,17912.76,118200,3700,50,
15-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,18239.9,18410,18082,18141,18131,18133.45,18141,5431050,986082.17,10159200,70400,50,
15-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18115.1,18280,18115.1,18196.75,18185,18189.7,18196.75,430900,78450.81,1204400,94150,50,
15-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18297.9,18343,18213.7,18263.1,18255.55,18249.1,18263.1,73950,13516.45,139250,21050,50,
16-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,18120,18159.95,17978.4,18004,17987,18141,18004,6648200,1200783.25,10035550,-123650,50,
16-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18211.35,18211.35,18041.4,18063.25,18046,18196.75,18063.25,606900,109980.92,1405000,200600,50,
16-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18299.65,18299.65,18109.95,18135,18116.35,18263.1,18135,86200,15675.41,161200,21950,50,
17-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17934,18028.8,17894.35,17909.15,17897,18004,17909.15,5916100,1062753.59,9920000,-115550,50,
