date,index,open,high,low,close,traded_quantity,turnover_crores
06-FEB-2026,NIFTY BANK,59967.1,60149.9,59644.55,60120.55,204838843,7267.23
09-FEB-2026,NIFTY BANK,60805.2,60876.2,60495.7,60669.35,263383179,11866.25
10-FEB-2026,NIFTY BANK,60740.8,60797.55,60531.55,60626.4,215859015,10409.67
11-FEB-2026,NIFTY BANK,60670.25,60779.95,60444.65,60745.35,235120784,10187.01
12-FEB-2026,NIFTY BANK,60786.15,60864.4,60597.65,60739.75,266999047,12991.36
13-FEB-2026,NIFTY BANK,60504.4,60621.9,60073.55,60186.65,236603159,11648.08
16-FEB-2026,NIFTY BANK,59947.8,61011.3,59861.1,60949.1,168628013,6913.02
17-FEB-2026,NIFTY BANK,60821.15,61241.6,60560,61174,264042737,10267.27
18-FEB-2026,NIFTY BANK,61255.35,61596.85,61100.9,61550.8,218063267,6931.18
19-FEB-2026,NIFTY BANK,61660.85,61678.8,60592.9,60739.55,190638669,7669.36
20-FEB-2026,NIFTY BANK,60627.85,61360.5,60562.35,61172,219798497,8317.93
23-FEB-2026,NIFTY BANK,61145.55,61517.8,61029.15,61264.25,841881403,13925.19
24-FEB-2026,NIFTY BANK,61392.1,61435.65,60801.85,61047.3,587726979,13885.44
25-FEB-2026,NIFTY BANK,61175.05,61317.55,60816.75,61043.35,321648989,10957.98
26-FEB-2026,NIFTY BANK,61193.9,61284.75,60813.3,61187.7,602742091,16566.5
27-FEB-2026,NIFTY BANK,61057.45,61086.45,60438.95,60529,369227038,13055.66
02-MAR-2026,NIFTY BANK,59204.3,60177.5,59148,59839.65,387102246,11729.09
04-MAR-2026,NIFTY BANK,58447.15,59058.4,58393.55,58755.25,363102095,12336.06
05-MAR-2026,NIFTY BANK,59008.25,59274.35,58506.4,59055.85,273526525,11232.25
06-MAR-2026,NIFTY BANK,58629.6,58807.15,57696.4,57783.25,256863138,12219.2
09-MAR-2026,NIFTY BANK,56121.4,56274.15,55270.6,56019.8,374097683,12357.84
10-MAR-2026,NIFTY BANK,56583.85,57097.05,56387.2,56950.8,346820170,13208.91
11-MAR-2026,NIFTY BANK,56790.4,56938.4,55631.95,55735.75,261028306,9965.82
12-MAR-2026,NIFTY BANK,55008.2,55636.95,54760.55,55100.95,311267722,12408.63
13-MAR-2026,NIFTY BANK,54592.05,54713.75,53675.7,53757.85,327503656,11759.55
16-MAR-2026,NIFTY BANK,53721.5,54664.15,53258.15,54413.4,390205387,13320.22
17-MAR-2026,NIFTY BANK,54649.1,54996,54113.15,54876,277121654,11004.3
18-MAR-2026,NIFTY BANK,54927.05,55554.15,54689.1,55326.05,223220072,7903.44
19-MAR-2026,NIFTY BANK,53474.55,54150.3,53240.6,53451,395346799,20607.88
20-MAR-2026,NIFTY BANK,53548.2,54382.45,53297.55,53427.05,403462742,17220.17
23-MAR-2026,NIFTY BANK,52576.1,52665.3,51323.6,51437.75,397272538,13308.41
24-MAR-2026,NIFTY BANK,52384.8,52949.15,51827.5,52605.65,340583044,14262.57
25-MAR-2026,NIFTY BANK,53024.75,54146.15,53024.75,53708.1,348622900,13553.77
27-MAR-2026,NIFTY BANK,53244.25,53292.5,52211.2,52274.6,652961325,17256.85
30-MAR-2026,NIFTY BANK,51527.9,51624.5,50105.25,50275.35,564854267,19609.94
01-APR-2026,NIFTY BANK,51433.9,52025.85,51133.55,51448.65,370080617,14540.54
02-APR-2026,NIFTY BANK,50625.65,51731.95,49954.85,51548.75,339187207,12190.88
06-APR-2026,NIFTY BANK,51747.6,52704.55,51111.1,52609.1,355025586,10973.33
07-APR-2026,NIFTY BANK,52258.7,52778.2,51868.45,52716.25,279734514,12333.3
08-APR-2026,NIFTY BANK,54904.45,55778.25,54797.5,55703.9,443562335,18029.45
09-APR-2026,NIFTY BANK,55505.95,55583.1,54626.85,54821.7,298789312,12761.46
10-APR-2026,NIFTY BANK,55182.25,55978.5,55145.25,55912.75,281031417,11050.95
